#{"t_start": 1765813571.9182043, "env_id": "None"}
r,l,t
0.0,50,11.26956
0.0,258,22.744763
0.0,94,27.101599
0.0,60,30.415367
0.0,46,32.809735
0.0,63,35.724201
0.010905,49,38.620471
0.01471,162,45.662863
0.0,69,49.684238
0.0,227,62.391535
0.0,148,68.523758
0.0,195,78.369574
0.0,91,83.136499
0.0,54,85.335449
0.0,236,96.227117
0.0,226,106.776067
0.0,166,115.111228
0.0,36,117.175765
0.0,65,120.681223
0.312945,193,130.547785
0.0,77,133.514097
0.0,155,141.245471
0.0,71,144.915754
0.0,51,148.37482
0.0,59,152.120828
0.0,160,160.039803
0.0,82,166.030797
0.0,69,169.163878
0.0,111,175.072284
0.0,85,179.255133
0.042031,169,187.04826
0.0,52,189.201755
0.0,51,191.793908
0.000295,229,202.910563
0.0,235,215.726034
0.0,66,219.662097
0.0,78,224.428471
0.0,53,227.495989
0.0,131,233.607466
0.0,209,243.203068
0.0,54,247.214797
0.0,167,255.820332
0.055839,180,263.490696
0.0,66,268.489102
0.0,42,270.733988
0.0,48,273.191775
0.0,53,276.254561
0.0,83,281.22801
0.0,52,283.824557
0.0,51,286.874684
0.021689,146,294.850092
0.0,304,309.358555
0.0,120,314.656761
0.0,51,317.664178
0.0,128,326.083993
0.0,62,329.018033
0.08825,205,338.945554
0.0,65,341.981333
0.0,51,345.011486
0.0,56,347.737825
0.319267,197,357.257994
0.004322,80,361.23567
0.0,74,365.465501
0.0,85,370.512571
0.0,65,373.538793
0.019724,164,384.04027
0.0,65,388.373802
0.0,115,393.49146
0.001033,196,403.054536
0.0,70,405.78354
0.0,64,409.719558
0.0,82,414.22965
0.030402,366,431.289389
0.0,57,434.951063
0.0,54,437.146612
0.0,167,445.736922
0.0,237,456.619344
0.233643,309,470.875829
0.0,49,472.945236
0.177459,305,487.150352
0.0,67,491.143286
0.0,255,501.790307
0.08765,143,508.283853
0.0,150,515.896476
0.0,74,518.777008
0.0,64,521.29193
0.0,48,525.226477
0.0,81,530.121617
0.0,70,532.857666
0.0,183,541.548343
0.0,47,544.454727
0.0,66,548.437179
0.0,117,553.639969
0.0,203,563.004067
0.0,54,565.686707
0.0,140,572.530679
0.0,46,575.983084
0.0,301,590.063247
0.0,53,592.738451
0.0,61,595.667021
0.0,86,600.353874
0.0,70,604.538288
0.0,110,610.501348
0.0,117,616.248272
0.0,84,620.354913
0.0,69,623.561611
0.0,76,629.01474
0.0,68,632.183708
0.0,349,648.43924
0.0,68,651.648405
0.119259,287,665.272527
0.0,65,668.356965
0.0,128,674.009382
0.0,74,679.391932
0.0,196,688.666847
0.0,45,692.434442
0.0,55,695.169327
0.0,481,718.136144
0.0,315,733.250133
0.0,52,735.873574
0.0,233,746.215774
0.0,74,749.587656
0.0,63,752.989893
0.0,57,756.19962
0.0,64,759.229964
0.0,106,765.505958
0.0,196,774.241438
0.0,133,782.393519
0.0,434,801.706495
0.0,162,808.79387
0.0,60,811.676254
0.0,152,818.032234
0.0,203,827.991411
0.0,79,831.453876
0.0,69,835.080444
0.0,159,842.524192
0.0,71,845.342794
0.0,155,853.158236
0.0,57,856.377677
0.000624,53,859.105325
0.047249,221,867.663671
0.0,144,874.806805
0.0,117,881.829019
0.0,387,898.261787
0.0,373,914.859012
0.0,279,930.694917
0.0,82,935.26035
0.0,128,940.366101
0.0,52,943.450783
0.0,60,946.789527
0.0,110,952.693774
0.0,80,956.269424
0.0,217,965.266816
0.254317,200,976.600138
0.0,85,980.392262
0.0,50,982.958326
0.0,298,996.903876
0.000368,197,1005.33157
0.0,70,1008.535465
0.0,145,1015.204579
0.0,117,1021.844806
0.034482,306,1037.192359
0.0,142,1042.8276
0.0,64,1045.880269
0.0,64,1049.390922
0.0,76,1052.889022
0.0,59,1055.294386
0.0,90,1060.571484
0.284242,117,1066.349144
0.0,258,1078.318825
0.041195,110,1083.297581
0.0,56,1086.056145
0.0,267,1098.114555
0.416484,159,1105.27476
0.0,66,1109.286195
0.0,124,1114.778559
0.0,50,1117.332337
0.002996,47,1120.887933
0.0,194,1129.202388
0.0,76,1132.63564
0.0,466,1153.303505
0.0,52,1155.470631
0.0,186,1164.861063
0.0,119,1171.659191
0.035861,119,1177.480996
0.0,142,1183.500258
0.0,134,1190.187661
0.0,177,1198.726475
0.0,161,1206.741006
0.0,57,1209.064397
0.0,191,1219.193825
0.018274,274,1231.77092
0.0,53,1234.422843
0.0,46,1236.818837
0.003485,138,1243.601604
0.0,104,1248.427649
0.0,116,1254.985776
0.174291,188,1264.330543
0.121915,598,1292.440438
0.0,50,1295.01274
0.267279,152,1302.359484
0.0,295,1314.42838
0.0,84,1320.555203
0.085353,72,1323.832625
0.0,69,1327.491355
0.0,66,1331.038935
0.0,153,1339.770243
0.0,182,1347.627837
0.0,47,1350.980034
0.025427,163,1357.69072
0.0,72,1360.939712
0.0,136,1368.810289
0.0,129,1374.946889
0.0,109,1379.483249
0.0,63,1383.018589
0.0,184,1391.977397
0.195854,153,1399.318862
0.0,63,1403.228171
0.0,44,1405.179318
0.0,82,1410.166459
0.0,144,1415.860645
0.0,41,1419.273079
0.001895,228,1430.878852
0.096776,371,1446.795093
0.0,85,1451.36823
0.0,64,1454.451505
0.0,71,1458.153634
0.0,89,1462.415204
