#{"t_start": 1765813573.3839815, "env_id": "None"}
r,l,t
0.0,50,10.266522
0.02989,257,20.830949
0.0,125,27.540688
0.0,70,30.726563
0.0,302,45.824226
0.506788,108,51.123632
0.119444,263,64.985811
0.0,68,68.955745
0.0,159,75.861701
0.0,387,93.912748
0.0,110,98.819549
0.0,65,102.313356
0.0,156,110.76984
0.0,298,124.574234
0.0,41,127.249967
0.0,133,133.393488
0.0,45,135.285964
0.0,87,140.381025
0.0,44,142.263203
0.0,57,145.92547
0.0,41,148.171692
0.0,126,154.575311
0.0,44,156.902438
0.0,53,161.924407
0.0,237,174.181703
0.0,62,176.702635
0.0,147,183.338475
0.0,198,192.995904
0.169045,339,209.035889
0.0,67,213.670827
0.0,53,216.728122
0.0,40,219.83185
0.0,48,222.273141
0.0,118,228.821001
0.0,53,231.026757
9.1e-05,95,235.486546
0.0,82,239.12252
0.0,53,242.208387
0.0,46,245.062772
0.0,88,250.647942
0.0,417,271.104087
0.0,81,276.423021
0.0,60,279.307093
0.0,135,287.381821
0.0,56,290.5738
0.0,152,297.821295
0.0,111,302.388294
0.0,373,323.341154
0.000654,204,332.758317
0.0,48,335.256747
0.467874,204,345.55099
0.0,73,349.273439
0.0,64,352.239255
0.0,53,354.841371
0.0,60,358.170831
0.0,76,362.006776
0.0,60,365.775662
0.0,53,368.418775
0.0,124,376.260109
0.0,52,379.296795
0.003554,60,383.089429
0.0,53,386.132863
0.0,68,389.665239
0.002621,61,392.600405
0.0,55,395.325513
0.0,101,399.960134
0.0,255,413.302883
0.0,370,430.941772
0.0,49,432.990437
0.0,58,436.213637
0.0,64,438.726077
0.143683,243,450.261436
0.0,67,453.352386
0.038153,121,460.076322
0.031013,181,467.365869
0.0,172,476.302213
0.0,68,479.894882
0.0,158,486.461067
0.000128,303,499.572538
0.0,62,503.418457
0.0,151,509.700133
0.206154,240,520.685692
0.0,50,525.134783
0.0,45,527.499535
0.0,130,533.111478
0.004267,61,535.537799
0.0,50,538.065304
0.0,121,545.688391
0.0,80,549.673563
0.0,79,553.17469
0.028495,172,560.172613
0.0,178,569.629133
0.0,211,580.373791
0.0,50,583.389774
0.0,46,585.368723
0.0,55,587.636578
0.0,64,590.679839
0.0,45,593.07801
0.0,54,596.236855
0.0,58,599.53569
0.0,56,602.342511
0.0,61,606.207444
0.328588,150,613.522588
0.0,77,616.966782
0.0,51,620.006872
0.001396,56,622.772203
0.0,218,633.864558
0.0,174,641.532702
0.0,88,646.308156
0.0,121,652.663001
0.0,61,655.579055
0.0,85,659.305975
0.0,185,668.209938
0.0,166,677.135924
0.0,57,680.391696
0.0,46,682.826869
0.0,129,689.419298
0.0,100,695.477355
0.0,70,698.754537
0.013142,316,713.021533
0.0,51,715.605121
0.0,83,719.717455
0.0,425,739.334513
0.0,68,742.905391
0.0,117,748.599421
0.0,163,756.637932
0.0,72,760.43387
0.018132,48,763.376257
0.0,66,766.885085
0.0,75,770.298774
0.002475,111,775.294827
0.0,205,785.878691
0.0,176,793.907265
0.0,50,796.028937
0.0,51,798.165469
0.0,137,804.008977
0.0,48,806.464915
0.065704,190,814.990977
0.0,340,831.224089
0.0,46,834.091902
0.032479,284,846.152117
0.0,48,848.629262
0.0,47,851.065581
0.0,46,853.931862
0.0,282,865.477599
0.0,122,870.391011
0.0,42,874.172166
0.0,61,877.546523
0.0,131,884.127221
0.0,130,889.74675
0.131345,242,899.629489
0.0,230,910.134819
0.0,106,915.45761
0.0,71,919.25886
0.0,74,924.586951
0.0,151,932.330326
0.0,235,943.261297
0.0,60,947.043942
0.0,376,963.138227
0.0,76,967.951185
0.0,48,969.979547
0.008347,61,973.96752
0.0,67,977.109509
0.0,128,983.682729
0.0,53,986.329054
0.0,480,1007.752864
0.0,57,1010.116873
0.0,70,1012.887608
0.0,62,1016.82898
0.463251,290,1031.175102
0.0,56,1034.390151
0.0,300,1048.50772
0.0,194,1057.271438
0.0,72,1061.054384
0.0,83,1065.688657
0.0,655,1095.35104
0.0,124,1100.892502
0.0,65,1104.425577
0.028235,285,1119.961449
0.0,322,1133.903019
0.019215,165,1140.323931
0.429247,142,1146.415661
0.0,42,1148.350166
0.0,59,1151.275681
0.027455,152,1159.020831
0.0,76,1162.5014
8.7e-05,199,1173.839903
0.002828,75,1177.213205
0.0,58,1179.569523
0.0,122,1184.962494
0.0,55,1187.674833
0.0,51,1190.698599
0.0,73,1194.433002
0.0,94,1198.476078
0.0,64,1201.491772
0.192835,368,1220.137004
0.0,200,1228.479444
0.006197,183,1238.518727
0.308564,121,1244.291875
0.0,70,1247.57096
0.0,45,1249.529555
0.0,56,1252.729987
0.0,87,1257.409165
0.0,42,1259.260002
0.0,49,1261.759075
0.01501,55,1264.430156
0.0,59,1268.75812
0.0,441,1287.545194
0.0,243,1299.701512
0.0,69,1302.881582
0.0,237,1312.137231
0.0,43,1316.436393
0.0,73,1320.232125
0.0,61,1323.14805
0.0,143,1331.118252
0.480263,325,1346.864599
0.0,278,1360.052316
0.009571,164,1368.865655
0.0,51,1370.997552
0.023454,171,1379.0414
0.0,88,1383.820903
0.0,55,1386.599939
0.0,126,1392.683907
0.245085,155,1399.619817
0.0,75,1404.431215
0.0,64,1407.44187
0.061314,201,1418.450001
0.0,58,1421.250025
0.008812,90,1425.537044
0.0,53,1428.241797
0.006859,54,1431.412744
0.115123,150,1437.267977
0.0,121,1442.682503
0.0,106,1447.488571
0.0,162,1455.610038
0.0,59,1458.888327
0.0,72,1462.142233
0.003008,277,1476.603635
0.0,77,1480.53425
0.0,112,1485.59592
4.9e-05,244,1497.770964
0.030408,221,1506.505472
0.0,88,1511.720504
0.0,70,1514.577164
0.0,78,1520.532917
0.289619,160,1526.806801
0.0,229,1537.136586
0.0,49,1539.24179
0.0,49,1541.310497
0.0,141,1547.747113
0.0,441,1568.417138
0.0,44,1570.729076
0.02952,87,1574.080444
0.0,299,1586.095195
0.043814,81,1590.16381
0.03129,264,1602.471616
0.0,65,1605.070762
0.025032,72,1608.779567
0.0,120,1615.656512
0.214861,79,1619.185039
0.0,65,1622.713369
0.0,117,1627.458454
0.0,232,1636.955633
0.0,72,1640.252239
0.0,59,1643.121048
0.0,51,1646.231637
0.087263,126,1652.209879
0.0,62,1654.699779
0.0,69,1659.929817
0.0,134,1666.205375
0.0,110,1671.259836
0.0,75,1674.174605
0.005021,81,1679.147383
0.0,66,1682.237816
0.310945,341,1695.710059
1.112338,138,1703.012713
0.0,52,1705.141912
0.0,44,1708.607841
0.0,48,1711.580216
0.08512,114,1717.634138
0.0,172,1725.232714
0.008117,48,1728.646574
0.179845,166,1736.088519
0.0,59,1738.974005
0.460413,348,1753.281267
0.0,502,1775.911582
0.0,86,1779.186841
0.0,45,1781.620365
0.007532,152,1789.780914
0.0,121,1795.591724
0.0,56,1798.353411
0.0,54,1801.032049
0.0,65,1806.573267
0.0,164,1813.779861
0.0,68,1817.42248
0.0,76,1820.809167
0.0,55,1823.057014
0.019144,149,1829.293342
0.0,72,1833.911289
0.0,71,1838.07755
0.0,47,1840.064054
0.0,134,1845.851918
0.0,172,1854.401784
0.0,67,1857.986943
0.0,178,1866.071544
0.0,309,1877.571854
0.0,67,1880.703439
0.0,76,1884.101706
0.0,69,1887.280825
0.430597,115,1891.531389
0.0,396,1908.374627
0.0,61,1911.307188
0.0,541,1933.149502
0.0,52,1935.311857
0.0,128,1942.906354
0.0,107,1947.799969
0.0,201,1955.375563
0.103059,356,1969.429052
0.0,44,1971.332717
0.212305,217,1981.187804
0.038774,268,1993.808936
0.0,56,1996.101432
0.0,74,2000.007766
0.0,71,2003.254885
0.414007,172,2011.718928
0.0,109,2016.218337
0.0,63,2018.766123
0.0,88,2022.132042
0.0,164,2028.921664
2.908821,545,2052.344018
1.701581,230,2062.173779
0.039321,110,2067.59036
1.164147,324,2082.597716
0.001799,140,2089.064712
0.168937,356,2104.53217
0.0,348,2119.707537
0.005895,408,2138.024891
0.196991,309,2150.648884
1.199874,318,2164.04222
1.007371,408,2183.549726
1.005929,315,2195.907492
0.0,101,2201.140607
0.0,68,2204.35184
0.0,353,2221.327632
2.067727,230,2229.839094
0.437904,99,2234.06366
0.987341,93,2238.551979
0.01139,1001,2280.676935
0.815619,471,2302.386131
0.0,305,2315.17409
0.0,107,2319.651978
0.094449,392,2336.850989
0.0,115,2342.09196
0.0,135,2348.466655
1.354882,420,2366.443747
1.08148,355,2379.589377
0.0,153,2386.019829
0.0,50,2389.746462
0.0,559,2412.376833
0.366576,353,2427.240304
0.516071,650,2454.028217
0.092196,445,2471.813127
0.480192,142,2478.883154
0.556167,315,2491.114043
0.060417,345,2504.25278
0.0,125,2510.159168
0.258076,483,2531.230782
0.300832,164,2538.008559
0.0,51,2540.577015
0.760774,463,2559.212981
4.829685,979,2595.587291
0.0,44,2598.980548
2.107631,779,2628.5664
0.0,229,2640.327006
2.563095,345,2652.50832
0.300988,629,2674.398699
0.240608,558,2699.786394
0.400731,125,2704.823491
0.48309,486,2724.999553
1.71887,461,2741.989887
1.213797,858,2774.911917
0.646534,325,2786.466116
1.358675,596,2809.248401
3.346006,323,2822.113614
0.985641,258,2831.432375
2.853299,1001,2869.270639
2.314782,1001,2907.077667
0.605983,646,2931.464991
0.0,192,2939.113138
0.0,223,2947.406652
1.863504,396,2962.88904
0.213136,462,2981.279842
6.158608,1001,3018.77642
1.791632,429,3035.59448
1.07534,850,3065.510803
0.0,141,3072.556438
0.0,245,3081.048493
0.0,196,3087.88857
0.337716,307,3099.1901
0.274791,266,3111.234104
7.416711,870,3142.873128
0.816378,461,3161.718715
0.006603,56,3163.993358
0.0,236,3173.053453
0.34571,252,3182.675352
2.108594,407,3199.013722
0.81652,117,3203.769484
0.101418,228,3212.62835
0.698664,439,3229.500638
1.373904,254,3239.623715
2.681027,1001,3276.668553
0.390592,649,3300.691125
5.18583,871,3334.53282
0.0,295,3346.109976
4.61582,238,3355.714952
6.329368,1001,3392.886402
3.781906,1001,3430.781823
0.495085,1001,3468.468736
0.013248,783,3497.776414
2.093788,366,3512.675511
0.269596,185,3519.674819
2.445719,382,3533.129751
3.646759,1001,3571.568049
9.089261,890,3605.075449
8.05318,1001,3641.94497
0.218489,94,3645.507436
7.742139,1001,3682.452451
0.142204,223,3690.73822
0.0,36,3693.906866
6.573459,1001,3728.666442
5.545764,1001,3765.183252
11.499385,1001,3802.337382
22.409437,1001,3839.830496
12.684528,1001,3877.649944
5.856952,1001,3915.532254
3.527805,731,3942.738148
0.0,39,3944.489317
1.038929,166,3950.851199
3.534925,492,3970.482835
18.94644,1001,4007.607677
17.625835,1001,4044.386022
7.587582,1001,4080.924252
9.875127,1001,4117.326587
6.829897,1001,4153.69368
16.376317,1001,4190.429759
3.414817,545,4210.684539
13.892172,1001,4246.639184
8.073007,1001,4282.851557
9.868204,509,4301.497183
30.280745,1001,4338.115513
18.263956,1001,4374.324752
23.080369,1001,4411.247775
20.556032,1001,4447.882072
5.590106,506,4465.789085
25.297324,1001,4501.871959
15.008508,1001,4538.732458
29.371893,1001,4575.143366
31.889037,1001,4611.942424
33.190811,1001,4648.663507
25.02573,1001,4684.989476
30.957211,1001,4721.562685
26.747778,1001,4759.675026
18.648978,923,4793.427635
36.73611,1001,4831.367009
39.348898,1001,4868.932933
9.850634,408,4883.622156
30.499607,1001,4920.676182
38.594444,966,4956.937148
42.84073,1001,4994.57652
0.0,156,5000.25409
35.80412,1001,5036.941121
41.547724,1001,5073.20455
43.007338,1001,5109.904501
51.29412,1001,5146.667548
38.20252,1001,5183.135016
53.999514,1001,5219.569526
50.639768,1001,5255.971377
38.9308,1001,5292.3493
43.354462,1001,5328.897927
39.231147,1001,5365.585095
46.093769,1001,5402.674647
48.852753,1001,5439.33423
48.567047,1001,5477.488394
51.035815,1001,5513.983824
41.68406,1001,5550.569832
57.717462,1001,5586.916909
57.806212,1001,5623.127765
38.714076,1001,5659.319544
52.861387,1001,5695.575324
45.336672,1001,5732.8269
62.338807,1001,5769.182567
51.888149,1001,5805.443694
0.196894,103,5809.275636
64.438506,1001,5845.791546
57.34963,1001,5882.457479
57.162808,1001,5918.752629
58.357114,1001,5955.143208
53.182761,1001,5991.485133
57.602973,1001,6027.677494
52.324657,1001,6063.860458
68.898516,1001,6100.159488
67.072994,1001,6136.373816
36.650381,1001,6172.665462
49.546462,1001,6208.975765
55.338275,1001,6243.851067
37.885417,1001,6280.216796
64.199628,1001,6316.626202
67.024814,1001,6353.182662
69.603301,1001,6390.060554
67.120938,1001,6426.969154
54.168238,1001,6464.108872
70.209861,1001,6501.144596
53.027056,1001,6537.550092
48.606845,977,6573.404295
62.801722,1001,6610.221903
65.272244,1001,6646.969373
71.361296,1001,6683.548041
52.497113,1001,6720.104856
53.718845,1001,6756.99697
71.301271,1001,6793.334928
68.167748,1001,6829.881809
68.210335,1001,6866.353715
66.127975,1001,6903.474001
57.94377,1001,6939.809856
72.853878,1001,6976.093562
62.24763,1001,7012.319098
72.463349,1001,7048.610385
73.12625,1001,7084.994923
70.819477,1001,7121.736556
71.134756,1001,7158.346975
76.174304,1001,7194.719703
73.056639,1001,7231.140057
