#{"t_start": 1765813572.4101155, "env_id": "None"}
r,l,t
0.0,53,1730.629349
0.0,52,1732.882581
0.0,237,1743.06951
0.09646,254,1753.351597
0.998177,166,1761.736565
0.0,70,1764.504742
0.27949,80,1768.541291
0.016444,422,1787.392328
0.0,47,1789.843066
0.0,114,1795.450285
0.0,157,1803.803946
0.0,97,1809.92265
0.0,48,1811.963181
0.017686,162,1820.047048
0.0,115,1825.140414
0.0,57,1827.450547
0.0,117,1832.630225
0.0,63,1836.575721
0.060195,134,1843.678664
0.293635,169,1850.614027
0.0,124,1857.597309
0.0,69,1861.204594
0.470962,134,1866.497759
0.0,255,1876.222608
0.0,68,1879.387669
0.324691,187,1887.345838
0.0,170,1894.330202
0.025657,357,1909.89589
0.0,78,1913.383893
0.162101,433,1930.311722
0.0,53,1932.495612
0.038615,122,1937.890427
0.444332,82,1943.04832
0.0,43,1945.35798
0.0,458,1963.247396
0.798344,239,1973.433276
0.0,183,1981.264632
0.0,59,1984.104827
0.804446,103,1989.945911
0.0,273,2002.206443
0.0,49,2004.737973
0.0,67,2007.871733
0.0,500,2028.535424
0.0,63,2031.522599
0.208105,457,2051.162216
0.0,242,2061.377205
0.0,64,2064.811753
0.0,310,2078.847764
1.325882,224,2089.020033
0.011246,121,2093.967056
0.0,67,2097.107119
0.151788,149,2103.877212
0.0,75,2107.268842
0.0,56,2109.580168
0.112449,251,2120.173393
0.014323,89,2125.599497
0.0,70,2128.876081
0.0,67,2131.579036
0.035365,469,2150.376408
0.0,155,2157.397699
0.424096,363,2174.438055
0.698634,93,2178.531427
0.0,733,2210.004847
0.0,66,2214.184859
0.0,106,2219.110567
0.039837,409,2235.825347
1.425393,191,2244.587042
0.021718,94,2248.147425
0.079934,189,2254.888624
0.850282,238,2265.628441
0.0,67,2269.265427
0.010143,349,2283.557641
0.0,181,2290.900398
0.017977,123,2295.929837
0.004684,70,2299.561716
0.0,98,2305.288489
1.190004,201,2313.690256
0.325544,190,2321.854699
0.016307,111,2326.415082
0.149938,256,2337.317053
0.294528,253,2349.941544
0.0,44,2351.863297
1.335081,734,2381.176705
0.0,199,2391.188794
0.031736,61,2393.652009
0.0,68,2396.338104
0.146948,206,2404.11347
0.0,83,2407.311791
0.0,91,2410.759034
1.340579,384,2427.160752
0.0,68,2430.272229
1.69658,278,2442.173517
0.0,180,2448.967654
0.194684,146,2455.581419
0.063331,191,2462.803503
0.103162,215,2471.167222
0.084317,238,2483.225856
0.870343,340,2495.341305
0.011865,356,2508.819633
0.043206,126,2515.262902
0.0,272,2528.033661
0.534604,224,2536.333099
0.0,399,2552.134651
0.0,694,2579.258405
0.971022,390,2593.927525
2.534725,421,2612.579938
0.0,73,2615.858221
1.490283,437,2631.466502
0.0,101,2635.244968
0.0,63,2638.648815
1.43598,1001,2676.027578
0.0,55,2679.814619
0.139487,165,2686.619913
0.0,73,2690.388525
0.0,71,2693.209928
0.185756,124,2698.230468
0.0,269,2709.35408
0.0,234,2717.900932
0.0,224,2728.607053
0.0,64,2731.204602
4.290845,402,2745.786042
0.038369,230,2754.279945
3.470471,1001,2791.346742
0.574077,357,2805.42319
0.500284,274,2816.201375
1.090505,688,2842.918324
4.075734,638,2865.154019
0.0,66,2867.737772
4.758378,396,2884.497091
1.282382,593,2905.148098
0.0,53,2907.31841
1.650259,703,2934.953744
0.081434,324,2946.478101
1.958406,463,2965.13092
2.43553,267,2975.744215
0.953535,443,2992.479424
1.129824,1001,3029.48521
5.881351,1001,3065.8546
2.081979,792,3096.392813
0.428322,301,3107.519181
0.0,157,3115.597773
0.0,70,3118.809191
0.0,71,3121.565005
0.329014,1001,3158.565512
0.0,76,3161.47946
0.184961,340,3175.748322
3.874926,784,3206.272849
0.0,152,3211.701086
1.08784,576,3234.428849
0.191589,180,3241.687793
7.940077,857,3273.050034
0.384025,466,3291.164381
0.53847,374,3304.302501
0.0,43,3306.185664
1.231845,310,3318.874794
0.0,335,3331.223046
3.047421,1001,3369.632255
2.07474,604,3391.925868
0.012184,65,3394.949566
0.0,76,3397.893003
3.585381,487,3415.701321
2.858333,381,3430.059989
4.641752,392,3444.363245
0.41488,422,3459.646496
6.329293,552,3482.467112
5.451451,582,3504.902762
3.804878,284,3515.57267
6.029992,1001,3552.669019
6.465626,1001,3590.194005
0.776496,320,3602.088443
7.711154,1001,3638.939179
7.166,1001,3676.34532
1.550671,167,3682.337789
4.792744,335,3697.207978
3.194464,1001,3733.472352
16.052005,1001,3769.99608
1.423781,1001,3807.620204
15.960529,1001,3843.158134
1.336073,302,3856.025199
7.194996,1001,3893.453949
8.443767,1001,3930.906548
12.333766,1001,3968.793401
3.670923,226,3977.609993
16.498062,918,4011.525299
15.416374,1001,4048.366864
19.443634,1001,4084.871301
8.772911,1001,4121.230252
17.90645,1001,4157.616634
10.720381,1001,4194.346925
1.707819,249,4203.984404
12.787052,1001,4239.912353
17.956259,1001,4276.135452
20.709351,1001,4312.803309
21.414553,1001,4349.312932
28.512509,1001,4385.498709
0.191415,92,4388.936225
16.043996,1001,4425.056382
38.07347,1001,4461.666475
8.16188,520,4479.987108
25.582491,1001,4516.113734
15.676587,1001,4553.014794
21.491997,1001,4589.878389
24.028112,1001,4626.291299
21.242273,1001,4663.00021
37.391317,1001,4699.362185
3.145215,229,4707.278571
30.92216,1001,4745.632799
32.906216,986,4781.426433
32.871606,1001,4818.041202
0.166897,126,4824.603459
0.0,77,4827.604527
7.862512,391,4841.895474
5.088949,214,4849.466452
2.875399,276,4859.096743
21.501477,1001,4896.679648
37.831087,1001,4934.181322
30.539945,1001,4971.077071
26.466711,1001,5009.033641
29.712246,1001,5046.202993
26.010544,1001,5082.420485
0.000949,360,5096.701194
40.47509,1001,5133.064255
36.32473,1001,5169.389736
44.172329,1001,5205.891019
51.472383,1001,5242.205821
45.355686,1001,5278.605787
59.268358,1001,5315.109365
50.58061,1001,5351.850004
46.760123,1001,5386.80102
0.0,78,5391.394106
42.081732,1001,5428.077754
53.819649,1001,5465.780936
0.269435,227,5474.262123
52.937582,1001,5510.756742
64.322236,1001,5547.296876
41.530657,1001,5583.747487
56.223602,1001,5619.962856
56.270823,1001,5656.11388
9.181294,324,5667.689021
54.969438,1001,5703.954564
19.914871,782,5733.084109
60.723154,1001,5769.446123
54.0005,1001,5805.723037
51.881938,1001,5842.609658
47.732129,1001,5878.872339
0.0,88,5882.234823
39.93733,1001,5918.513603
61.73682,1001,5954.910801
65.227494,1001,5991.263651
67.851219,1001,6027.463221
59.428412,1001,6063.637612
49.978094,1001,6099.932067
52.933143,1001,6136.142316
57.987044,1001,6172.427203
62.967743,1001,6207.199326
71.584989,1001,6243.627016
64.037269,1001,6279.999066
64.14872,1001,6316.365926
0.0,76,6320.35408
71.35835,1001,6356.884681
68.521597,1001,6393.76968
63.260571,1001,6430.663117
69.512748,1001,6467.831247
52.247509,1001,6504.852589
58.96802,1001,6541.210025
60.57642,1001,6577.89582
59.940574,1001,6614.679935
60.136716,1001,6651.478365
62.279691,1001,6688.045439
68.211234,1001,6724.582313
0.0,158,6730.239021
64.208459,1001,6766.750186
73.204464,1001,6803.044505
71.719847,1001,6839.568094
71.869133,1001,6876.097618
0.0,73,6879.011764
74.49461,1001,6915.499474
72.106156,1001,6951.905743
64.173646,1001,6987.976348
73.213856,1001,7024.379228
65.64489,1001,7060.544702
64.329561,1001,7097.159825
72.060287,1001,7133.916668
66.804193,1001,7170.379202
70.125242,1001,7206.812599
73.074466,1001,7243.166099
80.507469,1001,7279.836328
73.732228,1001,7316.254761
68.331744,1001,7352.355395
74.555094,1001,7388.867628
78.973963,1001,7425.289988
73.079501,1001,7461.740399
77.8087,1001,7498.213154
74.369594,1001,7534.489073
64.397908,1001,7570.841594
73.558855,1001,7607.226611
67.594981,1001,7643.942911
72.43491,1001,7680.488676
69.623377,1001,7717.084743
76.054817,1001,7753.347774
60.749978,1001,7790.329689
79.574313,1001,7827.147345
0.083434,174,7833.50726
1.363638,322,7845.204337
63.055361,1001,7881.992836
67.737657,1001,7918.759056
77.237982,1001,7955.664537
0.846913,205,7963.026455
74.642361,1001,7999.868972
62.090683,1001,8036.62062
77.692962,1001,8072.901302
80.485542,1001,8109.80764
69.342492,1001,8146.600665
74.961166,1001,8182.933049
1.748557,178,8190.1108
79.332506,1001,8226.537517
74.944617,1001,8262.968711
83.782062,1001,8299.40154
76.895892,1001,8335.811836
76.040294,1001,8372.053919
76.208214,1001,8408.315651
79.838351,1001,8444.545373
75.828524,1001,8480.767216
78.519982,1001,8517.380794
81.626683,1001,8553.69305
76.651945,1001,8589.996148
76.47723,1001,8626.135353
68.768143,1001,8662.251515
78.785846,1001,8698.827361
80.562576,1001,8735.086207
82.622298,1001,8771.330011
77.040346,1001,8807.600606
70.347782,1001,8844.22964
70.494812,1001,8881.246161
78.831173,1001,8917.915862
78.737456,1001,8954.426776
77.014822,1001,8991.042083
76.952634,1001,9027.58708
79.207188,1001,9063.862088
80.260438,1001,9099.96872
80.269784,1001,9136.41622
78.28345,1001,9172.991924
83.138183,1001,9209.688237
81.146059,1001,9246.637093
74.936372,1001,9283.749714
75.233552,1001,9320.74488
82.734001,1001,9357.931543
81.581269,1001,9394.790596
77.997951,1001,9431.425783
80.384128,1001,9468.057914
82.426956,1001,9504.648448
78.918996,1001,9540.992785
81.068444,1001,9577.408727
79.506978,1001,9613.711345
81.974096,1001,9649.949827
72.876754,1001,9686.55888
78.279356,1001,9723.444064
83.046851,1001,9758.433802
79.547444,1001,9795.283037
