#{"t_start": 1765813572.896422, "env_id": "None"}
r,l,t
0.0,41,9.561271
0.0,49,12.923323
0.29688,120,17.267113
0.0,73,20.09452
0.0,68,24.046776
0.0,199,33.64298
0.0,57,36.3559
0.0,50,39.281691
0.0,78,42.714142
1.104719,226,53.669503
0.0,115,60.920447
0.0,157,68.670414
0.0,144,74.646898
0.0,55,78.212543
0.0,74,81.526799
0.0,77,85.372532
0.0,126,90.844051
0.0,61,93.325245
0.0,119,98.535285
0.0,71,102.208596
0.0,73,106.426776
0.0,166,114.766338
0.0,58,118.003161
0.0,166,125.664171
0.0,60,128.966794
0.0,160,136.409756
0.004281,158,145.167818
0.0,67,149.607338
0.0,87,153.39237
0.0,51,155.965266
0.0,74,161.655346
0.0,52,164.261728
0.0,59,167.059362
0.0,101,172.190349
0.0,211,182.31253
0.175387,152,189.552774
0.0,145,196.121793
0.000593,59,198.932908
0.0,46,201.37055
0.0,54,204.476146
0.0,46,206.426376
0.0,47,208.412943
0.0,46,212.368308
0.0,46,215.207911
0.0,84,219.734032
0.0,76,224.876996
0.0,54,227.538897
0.0,177,235.149652
0.0,156,243.926779
0.0,48,246.825469
0.0,50,249.373643
0.0,276,261.516442
0.0,66,266.062814
0.0,53,269.129143
0.0,70,273.644138
0.0,59,276.451819
0.0,126,283.734775
0.0,63,287.205146
0.0,43,289.530353
0.0,51,292.550148
0.0,62,295.474884
0.0,193,304.112141
0.0,64,307.103914
0.004123,140,314.393717
0.0,60,317.702529
0.005279,55,321.932658
0.0,243,334.002213
0.0,44,336.344818
0.059901,124,342.677381
0.0,226,353.617029
0.0,63,357.015183
0.0,92,361.374807
0.0,64,365.277743
0.0,79,370.131374
0.0,77,375.077183
0.0,49,377.575367
0.0,66,381.53667
0.0,47,384.434404
0.0,64,388.272577
0.0,377,406.016673
0.0,56,409.239191
0.0,46,411.216398
0.0,50,414.649658
0.0,46,416.602452
0.0,52,418.768662
0.0,198,428.071937
0.0,59,430.906728
0.019205,176,440.195163
0.0,61,443.095981
0.0,151,449.382445
0.0,56,452.104801
0.0,60,454.96894
0.0,75,458.825713
0.0,128,464.360427
0.0,60,466.793429
0.0,227,478.440711
0.0,222,488.918616
0.0,204,496.974166
0.0,62,499.467413
0.0,46,502.325781
0.0,180,511.373004
0.0,71,514.155226
0.0,196,524.71632
0.006549,293,537.870722
0.0,53,541.436706
0.0,56,544.638683
0.0,408,563.901516
0.0,114,569.460876
0.0,191,579.072684
0.0,70,583.218596
0.0,242,595.324334
0.047515,180,604.992274
0.0,64,608.51316
0.0,79,612.532987
0.096651,247,624.806225
0.0,47,628.841596
0.0,157,635.432108
0.0,60,637.90656
0.0,164,645.68588
0.0,234,657.605179
0.0,56,660.373169
0.0,198,669.714692
0.0,122,674.718655
0.0,70,679.95248
0.0,58,682.781806
0.0,111,688.328274
0.0,38,690.946582
0.0,61,694.79935
0.0,57,697.624956
0.0,82,701.317982
0.0,47,703.807608
0.0,67,706.960362
0.0,69,709.727024
0.0,351,725.470495
0.0,80,730.544729
0.0,68,733.691897
0.0,121,738.571157
0.0,63,741.98622
0.0,76,745.841412
0.0,169,753.652527
0.0,94,759.016386
0.0,71,762.324701
0.0,70,766.42313
0.0,75,769.818133
0.001652,203,780.74665
0.0,56,783.504769
0.0,95,787.566255
0.0,58,789.926588
0.021211,368,806.068672
0.139548,327,820.915308
0.0,226,832.480699
0.000474,134,838.660942
0.0,199,847.513424
0.0,56,850.23194
0.0,535,875.655703
0.0,65,879.162889
0.0,194,888.254609
0.0,51,890.84991
0.0,71,893.669707
0.0,179,900.998552
0.0,68,904.181765
0.112039,155,911.272529
0.052544,146,918.434507
0.0,76,923.837902
0.063939,113,928.933861
0.0,53,932.082187
0.0,118,937.34969
0.0,60,940.218793
0.0,190,950.577206
0.0,371,966.975116
0.0,299,983.010023
0.0,67,986.122538
0.0,68,989.72171
0.0,197,998.085539
0.0,63,1000.622514
0.0,136,1006.555162
0.0,171,1015.48155
0.0,80,1019.04987
0.0,68,1024.201853
0.0,202,1032.731396
0.028943,175,1040.380647
0.0,70,1043.623489
0.0,70,1047.33593
0.0,164,1055.573337
0.0,58,1058.420401
0.0,129,1064.602329
0.0,63,1068.039397
0.029666,157,1075.273898
0.0,71,1078.562543
0.0,121,1083.905883
0.0,118,1088.728489
0.0,73,1092.062
0.0,53,1094.735414
0.0,52,1097.842596
0.0,164,1105.625623
0.0,144,1111.762569
0.0,62,1115.186495
0.0,130,1122.848059
0.0,66,1125.563718
0.0,581,1150.514419
9.3e-05,170,1158.843045
0.0,62,1161.87237
0.0,144,1169.939294
0.0,47,1172.900691
0.0,331,1187.475092
0.0,57,1190.691164
0.0,61,1194.037292
0.0,112,1199.577297
0.0,63,1202.556801
0.135608,134,1208.756111
0.0,63,1211.316352
0.0,153,1219.688496
0.020667,194,1227.856258
0.0,51,1231.325381
0.0,59,1234.169989
0.0,57,1236.926072
0.0,53,1240.020239
0.0,263,1252.364342
0.0,50,1255.353688
0.0,46,1257.316524
0.0,56,1260.552778
0.0,137,1268.286767
0.0,131,1274.070025
0.352418,201,1282.053144
0.0,67,1285.231873
0.0,43,1287.113486
0.0,55,1290.270762
0.0,116,1296.427389
0.0,73,1299.286846
0.0,189,1307.874447
0.051763,315,1324.352678
0.0,65,1327.868943
0.0,71,1332.09593
0.025316,60,1334.534693
0.002586,74,1338.317811
0.0,63,1341.760954
0.01968,156,1349.199544
0.0,378,1367.255674
0.0,187,1376.231857
0.0,80,1380.332439
0.0,66,1383.444933
0.0,228,1394.774158
0.0,141,1401.710356
0.0,73,1405.984389
0.109702,268,1420.097996
0.006764,72,1423.346435
0.0,52,1425.495847
0.0,40,1427.740615
0.0,46,1430.66959
0.0,156,1436.715331
0.0,64,1440.261429
0.0,163,1446.960174
0.0,57,1449.721709
0.0,80,1454.239067
0.0,199,1463.94892
0.0,41,1466.265609
0.0,62,1470.301987
0.207953,153,1477.727062
0.0,65,1480.322165
0.0,198,1489.659239
0.003347,84,1494.244108
0.0,72,1497.497099
0.08891,145,1503.715876
0.029577,149,1510.471511
0.0,116,1516.709474
0.0,68,1521.864397
0.052316,349,1536.181672
0.0,332,1551.353122
0.219145,156,1557.836195
0.001365,90,1561.263509
0.007136,81,1566.392723
0.020544,190,1575.333587
0.614566,383,1591.986512
0.0,68,1595.107425
0.0,313,1608.564424
0.0,58,1613.412968
0.0,191,1621.5425
0.0,364,1636.736297
0.0,43,1639.077313
0.0,113,1644.659468
0.002635,75,1649.028355
0.0,64,1651.580423
0.003097,172,1661.56356
0.0,112,1666.180341
0.0,73,1670.009649
0.0,141,1676.499376
0.0,49,1679.025604
0.0,77,1683.40871
0.0,118,1687.734086
1.726648,173,1694.267461
0.0,83,1698.881161
0.013788,199,1709.703937
0.0,52,1712.818965
0.0,45,1715.216438
0.03136,126,1721.291364
0.0,152,1728.598704
0.0,136,1735.032888
0.0,90,1738.956397
0.637219,146,1745.23851
0.367568,278,1758.255048
0.0,156,1764.751957
0.0,71,1767.564301
0.0,55,1770.293281
0.0,65,1773.321623
0.320428,204,1781.412757
0.0,53,1784.506247
0.025184,131,1791.546325
0.0,54,1793.793577
0.000245,98,1798.37293
0.0,59,1802.128722
0.003996,272,1816.30615
0.030781,351,1832.773491
0.0,67,1836.851421
0.0,81,1841.285519
0.290135,365,1858.942305
9.2e-05,244,1869.211387
0.006085,322,1882.064361
0.047226,355,1896.48407
0.0,61,1900.485035
0.020408,411,1917.220319
0.007685,257,1926.067011
0.0,49,1928.586102
0.0,343,1945.974914
0.0,480,1965.050197
0.0,282,1976.619669
0.018274,212,1987.402192
1.084879,233,1997.333984
0.126101,221,2008.382225
0.652732,377,2024.112371
0.713028,251,2035.67273
0.0,63,2038.2085
0.0,63,2040.707905
0.0,43,2042.5632
0.0,168,2048.501234
0.0,214,2058.190587
0.454455,527,2082.151333
0.0,45,2085.010755
0.053843,399,2101.936883
0.0,260,2113.237368
0.0,57,2115.576197
0.0,228,2127.024386
0.066195,105,2131.928757
0.001051,52,2134.116766
0.294428,236,2143.763518
0.0,196,2151.691382
0.0,62,2154.212155
0.573077,343,2170.553446
0.111747,149,2176.535715
0.0,64,2179.619348
0.0,450,2198.317643
0.032617,160,2206.033952
0.391167,188,2215.222084
1.350347,358,2229.27509
0.0,56,2232.119094
0.073162,150,2238.508409
0.109762,95,2242.668564
0.0,382,2259.173315
0.000722,52,2261.339211
0.0,257,2272.169987
0.0,70,2274.91655
0.232567,126,2279.533634
0.0,76,2283.900342
4.113291,330,2297.106544
1.079681,268,2310.660218
0.0,438,2328.88748
0.001524,109,2332.988458
0.0,52,2335.171794
0.0,66,2339.255579
0.201447,486,2360.423881
0.0,56,2363.186614
0.0,71,2366.002954
2.890154,785,2399.049426
0.000688,334,2411.993599
0.12565,97,2416.569218
0.0,86,2419.8627
1.36763,740,2451.05922
0.369469,677,2478.852246
0.0,48,2481.79316
4.119541,445,2498.297627
1.131883,273,2509.014758
3.045567,346,2525.156879
0.045924,276,2536.532167
0.0,96,2540.577969
0.0,322,2552.97281
0.004254,232,2563.099876
3.258285,498,2581.26439
0.066233,270,2591.076978
0.492204,313,2604.793659
0.009848,106,2609.216494
0.0,71,2612.91661
0.995989,656,2637.494938
0.674234,161,2645.672884
0.0,403,2659.704397
0.684933,619,2684.210926
0.0,56,2686.949474
0.0,52,2689.126928
0.019542,140,2695.147155
0.0,312,2707.692965
0.778883,922,2744.044826
2.611342,797,2774.046724
5.480195,597,2795.827469
0.710258,414,2812.225441
0.0,54,2814.481517
0.399478,289,2825.766596
0.0,335,2839.075067
1.04429,637,2861.316034
0.627154,234,2871.17786
4.421675,793,2900.426276
1.147702,585,2923.68509
0.307949,1001,2961.302798
0.915924,216,2969.766683
0.871931,112,2974.375442
1.108724,160,2980.560909
1.166862,123,2985.467799
0.0,66,2988.064741
5.663529,639,3011.910072
6.892224,1001,3048.826296
0.0,61,3051.269532
2.346248,545,3072.300172
1.548826,1001,3110.536483
4.396138,1001,3147.365317
0.0,64,3151.43793
1.440451,435,3167.894359
0.374129,153,3174.252579
0.190664,459,3192.262759
0.0,88,3195.609359
9.50029,1001,3235.015388
1.540385,1001,3271.565176
0.0,238,3281.233703
0.0,83,3284.372869
0.0,67,3287.043303
10.098834,743,3315.322446
0.0,870,3348.525015
1.70265,504,3367.337866
4.341208,1001,3404.90823
4.536614,975,3441.072248
5.408211,832,3473.65921
0.2449,224,3482.847853
1.13658,1001,3520.843426
4.902312,1001,3557.965315
0.000941,51,3560.081304
0.317052,307,3571.023933
1.212887,528,3591.243538
0.0,182,3597.666512
6.289536,1001,3633.981676
0.004252,53,3636.213614
15.385042,1001,3673.601991
1.414752,355,3687.24387
11.348986,1001,3724.036856
2.584493,522,3743.987218
16.569797,879,3776.567381
6.342941,1001,3814.117508
0.954829,260,3823.536395
0.684662,249,3832.151043
4.041145,327,3845.845025
11.367531,1001,3881.689585
0.904899,137,3888.243144
13.593193,626,3909.805952
0.0,83,3913.487929
1.40712,239,3923.882744
8.521671,1001,3961.348693
9.034517,1001,3999.332369
12.595431,936,4032.308588
14.110256,1001,4069.016241
24.122187,1001,4105.436202
2.611753,415,4121.997234
8.422994,1001,4158.395217
0.0,74,4161.30365
15.357712,1001,4197.645525
29.483924,1001,4233.587165
18.25753,1001,4269.810801
27.158059,1001,4306.438674
16.52025,1001,4343.00944
34.585577,1001,4379.19868
10.247576,683,4403.287189
29.409485,1001,4439.436634
0.0,67,4442.092299
16.814435,1001,4478.626859
19.270628,1001,4514.755967
25.836297,1001,4551.648518
14.983746,904,4584.883374
15.011968,1001,4621.737258
27.748001,1001,4658.376972
33.068063,1001,4694.773798
39.457429,1001,4732.72454
0.586083,163,4738.497904
0.322455,142,4743.585095
31.922473,991,4779.528594
38.846918,1001,4816.143535
1.61192,148,4823.428082
35.496252,1001,4860.28376
38.44008,1001,4897.860936
41.804957,1001,4935.390715
26.552508,1001,4972.262917
0.975767,148,4979.172359
38.069499,1001,5016.671362
25.417435,826,5046.469041
34.138022,1001,5082.707085
35.370702,1001,5118.995577
48.998949,1001,5155.287843
27.384571,1001,5191.790785
43.613388,1001,5228.170237
51.033652,1001,5264.60471
50.4816,1001,5300.988313
39.226291,1001,5337.624892
