#{"t_start": 1765739024.2771802, "env_id": "None"}
r,l,t
1.049886,896,34.144094
9.949352,435,51.633282
3.580954,122,56.137467
1.51154,700,83.064954
2.981711,141,88.164844
11.135306,387,103.276628
17.697961,657,127.796514
5.777564,1001,165.046731
0.106488,57,167.826556
0.145063,58,171.098878
9.898846,686,196.590577
15.327191,733,222.729508
0.897499,1001,261.895312
25.940887,518,282.492466
0.181108,61,284.978235
6.155941,436,302.049347
0.973988,696,328.315522
14.214995,449,345.309466
2.900345,243,356.319968
20.251994,692,381.401852
0.146434,62,383.954248
17.854541,638,409.118534
2.289557,585,430.869095
21.239914,267,441.85062
21.143013,546,462.317739
22.98246,418,479.840839
12.098552,1001,517.707413
17.116049,434,534.616514
19.886336,417,552.100762
4.88133,149,557.570363
22.702862,452,574.993299
1.587518,653,600.841682
12.370129,462,618.734342
20.720544,615,642.909559
22.135988,479,660.851204
24.213896,696,688.419349
34.134776,693,715.417979
8.554218,434,731.738321
0.136315,77,734.785717
27.013305,461,753.129129
24.138934,302,765.100939
1.765758,169,771.24262
0.297688,77,774.770367
16.691205,436,792.807004
3.346526,426,808.565821
35.578452,570,830.10954
14.85372,455,847.80167
24.340518,485,865.881799
19.601059,581,889.458914
27.794298,841,922.000047
26.011741,460,940.096709
24.133567,373,954.457585
11.116034,737,980.981918
23.528152,412,997.758361
18.845171,514,1016.602892
22.229116,335,1031.297078
22.070074,231,1040.023179
17.744655,562,1060.91226
23.684945,642,1086.64957
45.803242,477,1103.828721
33.051072,426,1121.028517
13.988796,430,1136.831731
29.499897,513,1156.414707
32.588697,507,1175.747084
25.194244,502,1195.431978
27.237594,466,1212.4707
30.566249,706,1239.508398
66.966717,1001,1277.283883
79.752143,830,1309.213208
23.387492,473,1326.101066
44.082881,932,1362.767532
76.587013,741,1390.656791
25.715087,613,1412.529013
32.771711,377,1427.707782
24.983465,263,1437.802967
41.208859,763,1466.355453
121.29017,1001,1503.056376
149.620208,1001,1540.642575
147.67347,1001,1578.006699
126.090841,1001,1614.80222
154.247061,1001,1652.070115
21.438026,363,1665.599939
161.440267,1001,1702.393991
72.960198,772,1731.101575
147.394094,1001,1768.967938
27.081507,383,1782.824804
134.128902,873,1814.81514
153.491266,1001,1852.141562
45.074411,381,1866.715258
153.230323,1001,1904.07944
163.894467,1001,1941.475479
152.327758,1001,1978.329324
166.479082,1001,2015.121722
131.547104,1001,2051.748704
24.315817,266,2061.54982
26.960953,424,2077.639288
174.867985,1001,2114.269043
56.427351,592,2136.385012
160.053089,1001,2174.137138
174.847856,1001,2210.960872
146.606305,986,2247.325571
156.587572,1001,2284.184286
161.108554,1001,2321.052462
164.194727,1001,2357.868702
188.022051,1001,2395.127866
172.446759,1001,2431.959303
175.403109,1001,2469.265674
176.393185,1001,2506.065923
166.911094,1001,2543.024891
173.240064,1001,2580.2857
166.183963,1001,2617.490868
177.61035,1001,2654.607671
183.334859,1001,2691.875077
175.210298,1001,2729.48425
152.120598,1001,2766.706184
182.333575,1001,2803.729597
180.661313,1001,2840.782604
163.140417,1001,2877.983817
159.63951,1001,2915.038396
185.546451,1001,2952.03746
199.068431,1001,2988.955032
178.165389,1001,3026.023109
197.569385,1001,3062.938256
186.809921,1001,3100.101371
168.075425,1001,3137.237528
159.580393,1001,3174.011321
180.110945,1001,3210.708968
188.40955,1001,3247.322364
190.736446,1001,3284.120594
198.839466,1001,3320.786018
178.174805,1001,3357.449826
40.549968,376,3371.836035
188.338423,1001,3408.688984
174.662571,1001,3445.424098
195.757567,1001,3482.161362
188.356941,1001,3519.031076
172.519149,1001,3555.801729
199.574812,1001,3592.522456
200.599181,1001,3629.319658
191.004252,1001,3666.09839
197.915802,1001,3702.948341
190.58267,1001,3739.73767
193.978872,1001,3776.659817
23.852112,270,3786.19759
181.490062,1001,3823.030524
192.154272,1001,3859.802281
202.778896,1001,3896.586311
190.978598,1001,3933.293569
194.958018,1001,3969.957718
199.225043,1001,4006.628143
184.334487,1001,4043.863809
200.998004,1001,4080.648861
187.18567,1001,4117.423222
194.963128,1001,4154.539766
186.950232,1001,4191.729934
188.602106,1001,4228.959429
193.083577,1001,4266.123451
188.6789,1001,4303.032993
191.999151,1001,4340.041863
194.557497,1001,4376.84316
190.595795,1001,4413.600787
198.004717,1001,4450.291877
191.085639,1001,4487.191066
188.979302,1001,4524.024758
182.837781,1001,4560.719432
192.104274,1001,4597.402008
187.622247,1001,4632.619361
198.126851,1001,4669.781609
183.433164,1001,4706.955213
186.242736,1001,4743.66236
196.536753,1001,4780.634475
211.37703,1001,4817.822788
209.292739,1001,4855.025927
200.237352,1001,4892.208491
193.541075,1001,4929.215119
210.558739,1001,4966.01441
215.085491,1001,5002.684038
209.115655,1001,5039.397207
210.144164,1001,5076.769892
195.405427,1001,5113.86947
193.093583,1001,5150.633281
199.235716,1001,5187.36814
210.770744,1001,5224.08964
204.342672,1001,5260.844606
208.601809,1001,5297.6197
211.443343,1001,5334.524155
206.510548,1001,5371.2822
198.750014,1001,5408.168636
216.734028,1001,5445.238891
219.668582,1001,5482.088344
208.921238,1001,5518.766546
212.581882,1001,5555.532655
195.530674,1001,5592.287403
215.380277,1001,5628.969611
211.343464,1001,5665.801437
218.706985,1001,5702.731863
217.14242,1001,5739.516612
214.074493,1001,5776.410031
202.923162,1001,5813.099497
201.46481,1001,5849.899886
212.779544,1001,5886.679416
208.499915,1001,5923.632474
208.787007,1001,5960.405506
210.905764,1001,5997.270038
210.351671,1001,6034.13543
212.348828,1001,6070.890786
214.529353,1001,6107.647518
210.740873,1001,6144.44461
208.62401,1001,6181.533213
198.297913,1001,6218.422529
218.749493,1001,6255.242857
211.293316,1001,6290.555631
207.358223,1001,6327.747568
214.132215,1001,6365.093843
219.34568,1001,6401.754118
214.072493,1001,6438.578717
208.028676,1001,6475.346524
215.362416,1001,6512.257133
219.568412,1001,6549.156263
211.52945,1001,6585.913454
213.139688,1001,6622.718061
221.313906,1001,6659.339621
208.118546,1001,6696.02036
215.682237,1001,6732.860987
215.858387,1001,6769.506225
216.541529,1001,6806.244201
220.736182,1001,6843.014851
212.390826,1001,6879.849955
211.659809,1001,6916.782674
222.607264,1001,6953.580624
208.135094,1001,6990.360484
217.690587,1001,7027.19595
212.829243,1001,7064.330897
219.329242,1001,7101.67548
217.659445,1001,7139.074006
215.517609,1001,7176.013103
217.350921,1001,7212.730561
220.012592,1001,7249.449311
209.656116,1001,7286.193999
214.028697,1001,7322.942529
216.262712,1001,7359.806084
220.097667,1001,7396.574764
215.88379,1001,7433.167229
223.449991,1001,7469.852703
220.992947,1001,7506.5685
220.112846,1001,7543.282826
217.076075,1001,7580.057503
220.747652,1001,7617.186889
217.744084,1001,7654.255323
228.379295,1001,7691.317971
225.030901,1001,7728.284502
223.041376,1001,7765.46953
227.441949,1001,7802.783332
222.847878,1001,7840.078727
219.675642,1001,7877.239998
212.268806,1001,7912.724106
218.706648,1001,7949.724407
218.557134,1001,7986.966612
225.163509,1001,8023.833289
226.755705,1001,8060.510568
218.688979,1001,8097.297243
227.743276,1001,8134.175735
216.147351,1001,8171.086738
227.376725,1001,8207.767734
217.996188,1001,8244.465343
223.603795,1001,8281.227302
224.464104,1001,8317.958787
226.246182,1001,8354.83043
202.503263,1001,8391.657533
218.65674,1001,8428.404512
220.857452,1001,8465.143199
219.203362,1001,8501.86936
225.190885,1001,8538.648936
219.73244,1001,8575.579202
230.197682,1001,8612.269685
223.281641,1001,8649.354325
227.189503,1001,8686.412468
225.154402,1001,8723.27541
218.952558,1001,8760.038771
219.702832,1001,8796.833052
228.842071,1001,8833.587245
222.661882,1001,8870.365489
214.750056,1001,8907.267966
214.28855,1001,8944.130363
224.127788,1001,8981.133154
219.883254,1001,9018.025393
229.237963,1001,9054.75501
222.729914,1001,9091.66089
225.757802,1001,9128.355962
226.275166,1001,9165.07061
225.114636,1001,9201.911741
225.479845,1001,9238.613783
226.18687,1001,9275.385025
