#{"t_start": 1765728010.7632499, "env_id": "None"}
r,l,t
0.0,55,10.768182
0.0,56,13.881659
3.32649,1001,50.383754
0.0,48,52.851881
1.22453,439,67.527686
0.27408,1001,106.05155
0.10733,1001,142.823884
3.402732,1001,179.663454
0.931021,469,196.700135
8.09773,1001,233.038359
0.0,294,245.066966
0.0,262,254.934193
0.0,56,257.214027
9.331426,1001,294.043659
1.36107,1001,330.41022
0.011834,84,334.055556
0.0,60,336.435369
6.940586,1001,372.833732
5.652386,872,404.46854
2.922268,1001,440.88974
9.449012,1001,476.730747
0.0,1001,512.666656
0.413822,708,539.103539
0.600653,1001,575.565319
0.152978,1001,611.941913
0.17928,87,615.221993
7.618464,1001,652.443682
10.22316,459,668.708848
27.700944,1001,704.744603
14.709893,1001,740.702714
5.528192,1001,777.096096
6.974748,1001,813.907089
28.464558,1001,850.307587
20.164789,1001,886.271793
5.376703,1001,922.154142
18.925075,643,945.509125
14.162912,800,973.498466
24.094903,1001,1009.451082
19.444567,1001,1045.486727
18.252938,1001,1081.341486
41.982646,1001,1117.618633
28.576695,1001,1153.821119
38.925386,1001,1190.285005
36.107832,1001,1226.46944
43.883749,1001,1262.60003
42.70682,1001,1298.484191
0.0,66,1301.06951
39.833759,1001,1336.876946
55.647022,1001,1372.74424
57.476655,1001,1408.622616
46.091467,1001,1444.4593
50.746202,1001,1480.22824
63.890207,1001,1516.071572
59.136132,1001,1552.039652
52.69348,1001,1588.095142
63.384535,1001,1623.930245
59.462865,1001,1659.846703
66.919332,1001,1695.611886
62.033411,1001,1731.573485
73.968628,1001,1767.529278
76.037268,1001,1803.90165
66.591821,1001,1840.163724
70.816888,1001,1876.387357
71.623162,1001,1912.688291
72.637245,1001,1948.910278
59.347431,1001,1985.165693
76.03237,1001,2021.327056
73.55195,1001,2057.564399
59.776639,1001,2093.651994
74.073421,1001,2129.795019
74.252082,1001,2165.976382
78.536182,1001,2202.151006
78.378842,1001,2238.386011
75.222007,1001,2274.174506
72.701699,1001,2310.090803
75.267757,1001,2346.024318
77.526964,1001,2380.327652
80.07332,1001,2416.2194
79.645944,1001,2452.066133
81.663212,1001,2487.978439
75.864357,1001,2523.921491
80.032949,1001,2559.821121
80.352724,1001,2595.558465
80.924878,1001,2631.396676
80.675842,1001,2667.094428
80.601322,1001,2702.82416
83.040557,1001,2738.543564
81.952741,1001,2774.611363
82.796306,1001,2810.535533
81.578262,1001,2846.225919
83.89587,1001,2881.989218
82.425464,1001,2917.791871
81.995984,1001,2953.571718
81.328377,1001,2989.38312
82.288849,1001,3025.102672
83.969566,1001,3060.859571
84.886899,1001,3096.698393
82.978487,1001,3132.764112
83.203338,1001,3168.523396
82.381932,1001,3204.280987
84.500002,1001,3240.134512
83.091327,1001,3275.973813
82.771925,1001,3311.781981
82.945513,1001,3347.475428
85.171049,1001,3383.234637
85.254209,1001,3419.013021
85.533749,1001,3454.878418
84.5969,1001,3490.764496
84.135574,1001,3526.744046
85.401497,1001,3562.6711
82.697812,1001,3598.559243
85.107955,1001,3634.379796
0.122086,79,3637.410345
39.336189,1001,3673.309754
83.869707,1001,3709.09258
85.17053,1001,3745.161809
84.574709,1001,3780.865874
84.847009,1001,3816.567385
83.229197,1001,3852.323646
84.800211,1001,3887.975717
82.460625,1001,3923.647127
82.593478,1001,3959.373543
86.529048,1001,3995.162256
85.348938,1001,4030.997689
84.699565,1001,4066.836257
85.502978,1001,4101.080034
86.701579,1001,4136.755654
85.864569,1001,4172.429168
86.975768,1001,4208.208893
82.019916,1001,4243.984274
85.002738,1001,4280.178781
83.95515,1001,4316.349462
85.95391,1001,4352.724231
87.200776,1001,4388.962823
87.885255,1001,4424.978162
86.217812,1001,4460.792491
86.500009,1001,4496.518274
86.072328,1001,4532.30794
85.578626,1001,4568.029626
86.206059,1001,4603.850151
86.560364,1001,4639.603729
86.8153,1001,4675.324704
86.627668,1001,4710.957958
