#{"t_start": 1765728011.2482855, "env_id": "None"}
r,l,t
0.0,76,11.846854
0.0,1001,48.312514
0.006081,836,77.670391
0.0,61,80.08977
0.0,57,82.833838
0.0,62,86.820551
0.0,260,96.644952
0.307975,813,126.905909
0.004224,81,129.969328
0.761356,251,138.563742
0.025768,307,149.886904
1.214712,883,182.425263
1.41358,1001,219.671692
9.311526,1001,257.384084
1.375665,395,271.100126
0.0,513,290.300243
2.407323,651,314.795526
3.794753,1001,351.617517
0.108233,90,354.989077
0.410924,735,380.722964
1.669032,612,403.014361
0.60788,1001,438.973477
9.117776,1001,474.827986
12.066674,1001,511.217457
1.276055,1001,548.084579
0.0,95,552.107696
15.291763,1001,588.167922
4.740966,1001,624.460683
0.0,70,627.619545
0.0,73,630.876914
0.0,58,633.229954
5.85545,1001,669.550366
8.124892,1001,705.611886
26.891788,1001,741.541648
6.651908,649,765.110272
0.0,1001,801.059835
0.0,116,805.277767
0.0,78,808.273628
9.708328,1001,844.211799
19.774304,1001,880.618085
31.21658,1001,916.518286
29.590728,1001,952.895321
29.11105,1001,988.959491
27.871892,1001,1025.020784
32.245432,1001,1060.882304
32.513501,1001,1096.878419
41.873609,1001,1133.204923
38.3341,1001,1169.210758
48.11055,1001,1205.818953
43.782813,1001,1242.062495
35.522024,1001,1278.054182
43.968153,1001,1314.298796
54.52386,1001,1348.634563
50.55785,1001,1384.56602
49.147835,1001,1420.338654
53.190443,1001,1456.188667
41.665341,1001,1491.927193
53.715501,1001,1527.758235
50.671857,1001,1563.848298
59.491185,1001,1599.837395
61.714531,1001,1635.669291
63.747895,1001,1671.611872
68.141726,1001,1707.344897
76.783346,1001,1743.267774
67.435534,1001,1779.415413
68.557336,1001,1815.798551
75.314926,1001,1852.021706
77.561834,1001,1888.23429
73.316861,1001,1924.549464
69.522751,1001,1960.734107
78.451839,1001,1996.986222
77.107367,1001,2033.200798
77.455371,1001,2069.332054
74.66527,1001,2105.476089
70.484322,1001,2141.646707
71.783516,1001,2177.800413
76.318633,1001,2214.051791
76.890526,1001,2250.076528
78.735513,1001,2285.85661
80.576698,1001,2321.908379
78.006083,1001,2357.724603
73.945222,1001,2393.533476
81.441274,1001,2429.461232
78.599315,1001,2465.356217
76.649552,1001,2501.317462
80.592234,1001,2537.242271
80.545435,1001,2573.037924
80.757089,1001,2608.732228
82.229514,1001,2644.574058
79.747914,1001,2680.278405
80.775582,1001,2716.014695
82.487674,1001,2751.79393
83.942342,1001,2788.007806
82.337829,1001,2823.696672
82.652438,1001,2859.477484
84.05744,1001,2895.18486
84.31173,1001,2929.503991
82.348861,1001,2965.289311
83.462382,1001,3001.090752
79.25222,1001,3036.754099
81.988638,1001,3072.632748
84.279831,1001,3108.390413
80.327043,1001,3144.468984
84.029356,1001,3180.252188
81.427096,1001,3215.98736
83.087341,1001,3251.916056
84.779371,1001,3287.681658
81.575417,1001,3323.475147
84.198652,1001,3359.117251
82.558028,1001,3394.939601
81.932984,1001,3430.680024
84.438392,1001,3466.624825
83.138238,1001,3502.524889
85.535969,1001,3538.495238
85.628638,1001,3574.383148
85.217882,1001,3610.208764
83.242245,1001,3646.595019
84.12154,1001,3682.466526
84.778138,1001,3718.284466
83.310577,1001,3754.283316
83.886326,1001,3789.92979
84.381295,1001,3825.720688
81.69812,1001,3861.413893
85.721529,1001,3897.105416
85.775708,1001,3932.781718
85.47484,1001,3968.530323
86.683462,1001,4004.354639
86.274161,1001,4040.168354
85.49859,1001,4076.006926
85.863682,1001,4111.719425
86.581645,1001,4147.349702
84.926553,1001,4183.087554
87.29645,1001,4218.902499
85.653741,1001,4254.781669
85.79162,1001,4290.969678
86.61064,1001,4327.195516
85.30305,1001,4363.524933
85.449415,1001,4399.734874
87.353672,1001,4435.687008
87.01568,1001,4471.452569
87.357373,1001,4507.205252
86.883123,1001,4541.42887
86.530304,1001,4577.205341
84.074736,1001,4613.029008
86.353323,1001,4648.715032
84.109443,1001,4684.411505
87.343043,1001,4720.059013
87.576927,1001,4755.868816
87.368279,1001,4791.773131
86.769399,1001,4827.674086
76.305171,1001,4863.603896
87.537709,1001,4899.516694
83.00051,1001,4935.20608
87.604306,1001,4971.060795
87.225033,1001,5006.873748
86.766029,1001,5042.779049
86.193619,1001,5078.59648
87.050805,1001,5114.466419
82.16975,1001,5150.296506
87.339055,1001,5185.9908
86.571531,1001,5221.814421
85.91021,1001,5257.54653
84.828913,1001,5293.499307
84.677394,1001,5329.205828
87.001548,1001,5364.904147
86.749376,1001,5400.748966
87.007309,1001,5436.850661
87.386124,1001,5473.254417
87.57127,1001,5509.277919
85.876001,1001,5545.058954
87.997337,1001,5581.006376
86.584058,1001,5616.777476
87.555704,1001,5652.64089
88.582424,1001,5688.512977
84.948598,1001,5724.426429
87.736588,1001,5760.579106
87.538978,1001,5796.37733
1.320319,201,5803.308683
88.364807,1001,5839.139158
85.635787,1001,5874.799252
86.870649,1001,5910.572547
87.381667,1001,5946.418804
88.269579,1001,5982.320853
88.554006,1001,6018.074804
87.332542,1001,6053.835095
88.22935,1001,6089.59268
86.273268,1001,6125.548579
89.115607,1001,6161.321239
87.159098,1001,6197.007837
87.588895,1001,6232.892182
88.402217,1001,6268.599151
88.583312,1001,6304.319514
88.909072,1001,6340.101927
88.850845,1001,6375.822205
88.794017,1001,6411.530755
89.419026,1001,6445.761027
88.353742,1001,6481.45397
87.429584,1001,6517.316364
88.855689,1001,6553.45178
86.377535,1001,6589.409532
87.571054,1001,6625.265839
88.839967,1001,6661.167953
85.494731,1001,6697.045962
