#{"t_start": 1765675346.8439083, "env_id": "None"}
r,l,t
0.192954,56,9.639102
0.15624,58,11.970773
0.197997,52,14.112294
4.980167,581,34.395379
5.727586,1001,74.315045
0.857756,73,77.176481
15.675497,419,94.345663
2.275923,211,101.792142
0.145016,57,104.59576
3.5985,1001,144.537246
0.648538,99,148.724062
1.540868,150,154.200424
7.34625,215,161.729746
17.407058,782,192.393067
5.704519,515,213.234495
6.954494,738,239.947032
15.321094,1001,277.333503
0.331377,1001,315.199376
9.129932,524,336.862803
2.532846,232,346.812126
0.615763,51,348.937812
16.566792,390,363.709941
1.763909,401,381.299232
16.56622,487,400.13233
3.160698,173,408.756108
1.43382,602,432.44864
0.222756,61,434.898359
14.912258,260,445.411334
16.202973,205,454.229157
16.98609,329,467.896941
12.507331,309,479.559499
9.034861,445,497.112915
0.126025,63,500.095263
5.983276,286,510.946063
15.538529,363,524.375877
1.400767,409,541.004307
15.204272,244,550.975079
14.911973,244,559.908387
0.425171,538,581.591075
14.57637,241,590.961365
13.314608,316,603.271358
0.695158,82,606.897435
1.342601,87,611.136014
3.598727,487,631.010531
3.577561,335,643.974164
4.844398,315,657.373105
12.370496,439,673.804489
15.939744,456,690.757428
17.216639,384,706.777649
13.355865,356,720.427572
11.947468,219,729.035957
12.964712,226,738.501518
12.436877,202,746.607436
16.75291,204,754.669009
13.067808,232,763.67517
15.509628,341,778.267769
9.14612,452,796.208184
16.337432,259,806.699272
17.388683,346,820.574982
11.781142,263,830.245495
19.654327,312,842.994037
14.412711,285,854.274425
12.897435,602,878.142804
17.1036,204,885.830401
17.833768,347,900.684187
17.142661,330,913.425608
14.544537,197,921.758988
13.029548,353,935.273533
16.636072,235,946.874923
15.629531,218,955.492045
14.502271,234,965.041174
10.199491,253,975.215448
15.627988,292,988.243353
11.650323,345,1001.561373
3.516135,371,1016.160638
15.931718,199,1025.641225
16.44468,318,1037.120333
19.254937,366,1051.503695
20.366528,271,1061.807168
18.04627,304,1075.144219
18.540185,366,1089.468121
14.553057,316,1102.666356
13.781138,234,1112.823445
19.137741,237,1122.025672
20.158878,302,1134.259035
14.425808,429,1152.19256
12.143761,270,1162.920024
14.87963,199,1169.976497
14.764463,252,1180.133721
13.020225,268,1192.267899
20.756357,421,1208.383972
1.314817,476,1227.305842
15.337547,318,1241.67277
16.918149,209,1249.943756
19.636091,365,1264.793698
17.293727,297,1277.47332
17.297521,157,1284.507133
0.39332,133,1289.806477
16.886753,224,1299.040224
17.843657,332,1311.808939
14.450574,277,1324.312553
14.459087,518,1344.66059
16.269206,258,1354.57096
15.854969,227,1365.485783
16.087871,264,1375.632479
20.400153,321,1388.608743
17.774649,266,1400.777263
21.244914,363,1415.153219
14.71833,172,1422.75941
16.306029,226,1431.150439
19.89714,283,1444.343568
16.385677,183,1451.777816
16.348081,238,1461.493518
16.122622,298,1472.767254
15.856201,229,1481.727469
20.651426,372,1498.537505
19.225018,196,1505.973501
18.130264,279,1517.666641
16.242488,270,1529.590117
15.922963,303,1542.046914
19.549062,352,1556.624808
24.845195,442,1575.571649
15.044851,445,1593.162163
16.43549,202,1601.719716
15.808597,262,1614.189481
15.141799,393,1629.255697
17.240035,188,1636.892447
0.330279,69,1640.14318
9.364068,308,1651.782432
19.448308,337,1667.363724
18.151336,274,1677.402889
14.705915,177,1684.680531
22.778532,429,1702.936473
10.201038,348,1717.292662
22.909705,377,1732.219129
21.130768,594,1757.340547
16.081446,169,1764.441298
14.186468,224,1772.790573
16.43095,205,1783.052443
16.726016,229,1792.619015
15.833493,179,1800.011377
17.653945,293,1811.147598
16.390819,202,1819.724037
16.739431,304,1833.263284
15.850206,244,1843.330263
19.155726,313,1855.663765
16.876954,208,1864.025426
16.080132,314,1877.88552
15.91518,369,1892.023395
18.399022,338,1905.151793
17.134981,229,1915.704501
19.758768,603,1939.599002
17.785864,314,1954.425662
13.248281,314,1967.295853
19.526229,258,1977.313278
37.263576,455,1996.390915
20.339568,308,2008.481909
15.788234,403,2024.308098
16.312642,263,2036.020224
11.81073,242,2045.543242
21.292639,291,2058.085368
15.094788,194,2065.026139
16.451186,294,2078.197053
16.595801,291,2090.732973
13.635354,179,2097.576633
13.420286,364,2112.566173
17.384883,303,2126.605296
11.347133,364,2141.165149
10.453183,290,2153.308631
16.335092,363,2169.271301
18.113173,360,2183.149849
15.360206,179,2191.029391
19.048515,238,2200.380749
17.302802,210,2210.263724
13.014639,223,2219.552551
16.043352,163,2226.424931
18.441688,245,2235.500141
16.92027,684,2263.530491
17.599186,226,2272.506338
21.408343,352,2287.049546
20.133595,253,2298.83522
18.857922,346,2312.620266
