#{"t_start": 1765675345.356593, "env_id": "None"}
r,l,t
13.546009,774,37.63648
3.249211,646,63.66715
13.058992,631,89.046917
0.441742,419,104.355219
0.265417,57,107.142018
8.599713,619,132.186845
4.866574,181,139.576708
2.254282,709,166.22783
8.611821,637,190.706728
21.474985,1001,229.449905
11.014837,394,243.840061
0.58165,1001,281.230821
15.469372,287,293.108538
4.055208,468,309.62305
10.563299,306,321.128018
19.296851,399,337.700723
0.931167,89,342.442472
0.287235,47,344.448238
4.0703,357,358.61416
19.296525,499,378.892189
0.16235,142,385.025719
15.93979,388,399.711511
19.382245,298,413.354664
14.38868,244,422.865826
1.722794,137,428.287902
8.001449,385,443.444878
0.41122,58,445.831345
16.772202,335,460.296213
0.601735,193,467.642155
8.388274,706,495.742624
6.605682,1001,535.068936
16.612752,235,544.342587
10.897592,690,570.436089
14.021725,313,584.168554
20.039036,596,607.141736
17.400022,394,624.393062
16.473893,271,635.174232
8.987015,214,643.236936
9.789924,333,657.199585
16.018259,324,669.788516
11.513414,402,684.525593
9.833584,243,695.931406
2.642513,493,714.085508
18.899046,410,729.474202
0.17452,469,749.316118
11.575294,251,759.408292
20.49385,317,771.204106
8.873736,410,788.665409
18.728754,308,800.814984
13.000477,979,839.490748
15.54896,225,848.363058
1.481502,349,863.315398
0.223977,550,883.930583
17.398883,311,895.616204
17.29965,343,910.797377
12.835766,190,918.922397
16.004707,216,926.961896
15.892546,260,937.394555
11.652858,201,946.950107
19.692889,291,958.90238
0.422278,93,962.399645
13.143551,499,984.044337
12.810396,212,992.481841
17.738245,208,1000.318468
16.04613,208,1008.593115
3.937484,402,1025.748187
7.932612,372,1039.940015
19.19629,1001,1080.372978
18.970453,290,1091.756468
17.663265,234,1100.376328
18.186678,347,1116.133582
16.469456,330,1128.842399
14.457521,469,1147.044944
18.37085,263,1158.589105
18.64992,443,1176.469679
11.894436,354,1191.422642
18.062835,260,1201.31929
14.187214,293,1213.245305
18.541638,256,1223.095103
17.94488,335,1237.513129
11.353209,238,1247.711444
18.205089,345,1260.959545
9.305831,228,1270.333996
16.38525,271,1282.639346
0.217135,75,1286.499264
20.580516,320,1298.889473
18.883965,306,1310.804703
17.339974,190,1319.948761
12.587541,227,1329.346128
11.80497,175,1335.552309
12.863428,245,1345.03382
13.720455,384,1362.005448
12.180339,232,1371.08865
15.973828,270,1382.410471
20.751863,290,1393.419718
18.513433,315,1407.21832
13.735806,325,1420.348227
19.625786,273,1431.252845
15.345245,182,1439.14053
13.760094,301,1452.434204
14.930343,196,1460.29296
17.657395,233,1469.380419
21.555305,275,1479.903627
13.507388,236,1491.131762
13.097274,182,1498.228626
16.661451,224,1508.01892
17.102731,166,1515.011055
15.237665,248,1524.690343
19.835505,276,1537.328672
14.165451,268,1548.551285
18.198793,188,1555.227429
14.748637,314,1567.515651
16.345062,202,1578.128274
11.736318,234,1587.289232
17.022633,228,1596.293234
13.146781,218,1605.368561
14.95278,181,1612.272239
16.59693,266,1624.052001
17.091523,161,1631.363646
15.199159,246,1640.911871
19.85778,343,1655.215438
15.766672,275,1667.257018
17.384645,384,1682.38088
14.779381,242,1691.853256
19.167975,343,1707.19594
21.015535,249,1716.871452
19.677286,346,1730.293655
17.084353,186,1738.330249
14.852481,222,1748.645839
13.351987,329,1761.555654
13.854729,459,1780.220392
20.021439,259,1791.805733
15.375172,194,1800.139898
12.403981,335,1813.646618
20.615016,256,1824.092685
17.562907,336,1839.181444
15.532646,759,1871.134494
19.015685,284,1882.519189
18.779474,370,1896.221269
14.836632,247,1905.377946
18.421703,336,1920.438989
18.618599,248,1931.022896
14.90911,223,1938.995104
16.250665,229,1948.55584
17.133935,192,1958.387671
18.343289,289,1970.406296
18.159846,351,1984.012227
15.894803,293,1996.205599
35.172784,454,2014.584866
20.572895,284,2025.025118
17.621305,195,2032.970267
15.450643,326,2047.749971
22.314921,258,2057.773782
17.195155,300,2069.683484
15.734952,214,2080.167491
19.966935,264,2090.851274
15.979686,210,2099.679247
15.791053,297,2111.009352
19.872963,243,2121.017212
14.905472,170,2130.130856
16.688249,252,2140.017867
16.873755,158,2146.724149
21.533547,361,2161.197808
17.11631,275,2173.760914
17.101986,340,2187.478746
17.462494,369,2202.620921
20.449827,306,2216.168137
16.882022,255,2226.066714
15.964655,406,2242.416235
16.483849,143,2248.606709
16.873507,210,2257.98892
16.266397,342,2270.804576
16.713722,366,2284.884529
17.425761,301,2299.231517
18.14527,239,2308.997481
19.385968,305,2320.98957
17.730538,209,2329.364379
16.799728,345,2344.746318
22.631317,400,2361.342349
20.428915,242,2371.261528
15.810248,195,2380.146326
15.406934,174,2387.309465
21.352884,339,2400.903549
