#{"t_start": 1765675345.8529766, "env_id": "None"}
r,l,t
5.129292,234,17.756778
9.215611,525,36.213043
0.277838,54,38.869782
0.165485,52,41.019619
1.288433,153,46.4757
14.796274,384,62.134766
0.196663,71,65.367513
3.799686,357,78.904015
6.496466,733,108.755813
16.716391,427,123.632539
0.168307,56,125.960951
0.228147,54,129.734867
0.254933,121,135.072848
9.054625,1001,173.817773
1.24715,299,184.670401
15.558366,372,198.351538
3.571002,172,204.531349
3.173591,118,210.347668
15.846757,283,221.567072
5.86816,604,243.877157
4.886718,462,261.564165
8.836412,1001,299.031799
19.959666,366,312.070439
9.118316,237,321.319206
9.907967,412,338.753551
0.150638,69,341.464552
14.68239,330,354.648574
0.793938,65,357.317499
15.150159,249,368.432642
0.509811,222,376.695309
0.420709,70,379.92189
15.610025,216,388.478498
15.117961,441,405.855618
13.613732,243,417.252231
7.592217,269,427.072831
7.712818,1001,468.346017
13.622237,418,484.501204
7.528547,376,499.787016
13.51464,291,510.801144
0.375241,52,513.429882
0.110835,53,515.740784
11.993222,626,539.496513
15.516474,217,548.486856
1.319473,344,561.743612
16.057975,378,577.248817
9.8728,189,584.833128
15.888468,268,595.091364
0.179006,52,597.262871
5.463578,283,608.491344
17.458869,317,621.754587
14.406767,212,630.208422
19.016227,539,650.93165
14.052984,326,664.629424
9.093206,363,678.486099
6.975849,384,694.582863
14.108994,440,711.00872
17.897436,367,724.977805
6.071417,496,745.222749
22.245376,316,757.93116
13.337575,376,772.595137
9.792168,414,790.198509
18.197538,401,805.450475
21.719941,340,819.633155
2.614581,315,831.9461
19.094309,521,852.515293
15.020584,243,863.504725
0.162419,902,898.675602
15.042464,225,907.503081
11.78576,203,915.592954
16.957222,294,927.596143
20.647852,368,943.588754
17.126535,256,953.456572
12.021063,363,968.635478
16.979639,182,975.550405
14.13394,268,987.777354
3.738421,393,1003.624836
17.765778,277,1014.192523
3.62807,652,1041.466804
14.330238,327,1053.634683
19.533509,270,1063.895548
0.149062,92,1068.871126
15.411443,272,1079.189544
15.951126,198,1087.092661
19.323224,396,1102.904003
13.792535,570,1126.446707
15.360519,209,1134.705093
0.636692,70,1137.916593
18.012102,350,1152.341153
18.379091,223,1161.514827
17.428973,315,1173.803856
17.044723,259,1183.712003
14.923969,402,1200.204131
13.331146,181,1207.553701
16.394587,314,1219.728695
13.297765,178,1226.995005
17.956787,219,1237.587848
13.960637,192,1245.351547
14.91747,172,1252.867972
14.725829,297,1263.601381
16.21796,226,1274.414715
14.628354,242,1284.27424
18.658681,331,1297.474465
13.873614,310,1309.518686
15.833406,418,1328.095016
13.817062,329,1340.793681
14.075987,267,1351.454179
14.17302,294,1364.570697
17.740405,345,1378.34715
13.940393,232,1387.421913
16.333961,189,1395.541707
15.683574,264,1407.198161
17.182942,153,1413.210189
19.996693,241,1423.100672
17.173031,328,1436.268189
14.92862,198,1446.171693
14.969367,662,1471.776675
16.230747,333,1486.666099
16.258517,310,1498.942038
14.592607,345,1513.289889
21.961458,432,1532.022231
16.014478,279,1543.658144
4.654732,301,1555.509449
17.978987,336,1569.042114
15.417323,226,1579.907506
14.423505,184,1587.43346
18.206125,258,1597.448362
18.472138,253,1607.671608
20.404628,405,1624.969377
18.718589,275,1636.044272
14.197265,261,1647.103314
14.669721,165,1653.512392
17.094093,334,1668.972922
15.470534,482,1687.318411
16.933873,213,1695.848013
21.697152,418,1713.635292
18.807901,281,1724.855973
14.558423,248,1735.041327
14.7575,169,1743.617677
17.645408,223,1752.027477
20.818537,309,1764.287695
20.889532,262,1774.873669
17.038861,270,1787.308563
18.083394,152,1794.265211
14.660347,250,1803.993678
